,CNT,CNTSCHID,bol_location,bol_extra_acts,bol_competition,bol_career_guidance,funding,students_male,students_female,teachers_ft,teachers_pt,total_students,total_teachers,ratio_f2m,ratio_pt2ft,ratio_ft2pt,ratio_t2s,ratio_s2t,ap_parental_eng,dropout_rate,avg_cog,avg_math,avg_read,avg_science,med_cog,med_math,med_read,med_science
790,POL,61600234,1,1.0,1.0,0.0,0.99,75.0,76.0,47.0,6.0,151.0,53.0,1.0133333333333334,0.1276595744680851,7.833333333333333,0.3509933774834437,2.849056603773585,0.4,0.02,0.0,8.379310344827585,50.72413793103448,16.517241379310345,0.0,5.0,42.0,9.0
791,POL,61600235,1,1.0,1.0,0.0,1.0,101.0,89.0,15.0,10.0,190.0,25.0,0.8811881188118812,0.6666666666666666,1.5,0.131578947368421,7.6,0.4025,0.0,0.0,5.971428571428572,51.65714285714286,11.971428571428572,0.0,3.0,45.0,10.0
792,POL,61600236,0,1.0,0.0,0.0,1.0,488.0,515.0,73.0,3.0,1003.0,76.0,1.055327868852459,0.0410958904109589,24.33333333333333,0.0757726819541375,13.197368421052632,0.38,0.02,0.0,5.956521739130435,40.95652173913044,7.6521739130434785,0.0,5.0,41.0,0.0
793,POL,61600237,0,1.0,1.0,0.0,1.0,285.0,264.0,54.0,6.0,549.0,60.0,0.9263157894736842,0.1111111111111111,9.0,0.1092896174863388,9.15,0.45,0.0,0.0,5.142857142857143,55.38095238095238,13.38095238095238,0.0,0.0,46.0,12.0
794,POL,61600238,0,1.0,1.0,0.0,1.0,412.0,448.0,80.0,5.0,860.0,85.0,1.087378640776699,0.0625,16.0,0.0988372093023255,10.117647058823527,0.3375,0.02,0.0,6.555555555555555,55.333333333333336,10.444444444444445,0.0,3.0,44.0,9.0
795,POL,61600239,0,1.0,1.0,0.0,0.9,150.0,279.0,57.0,4.0,429.0,61.0,1.86,0.0701754385964912,14.25,0.1421911421911421,7.032786885245901,0.665,0.0,0.0,7.870967741935484,50.32258064516129,9.387096774193548,0.0,8.0,46.0,0.0
798,POL,61600242,1,1.0,0.0,0.0,1.0,81.0,91.0,23.0,1.0,172.0,24.0,1.123456790123457,0.0434782608695652,23.0,0.1395348837209302,7.166666666666667,0.455,0.0,0.0,3.7,40.0,9.7,0.0,2.5,39.0,4.0
799,POL,61600243,0,1.0,1.0,0.0,0.9,357.0,339.0,78.0,3.0,696.0,81.0,0.9495798319327732,0.0384615384615384,26.0,0.1163793103448275,8.592592592592593,0.335,0.0,0.0,10.22222222222222,51.14814814814815,11.148148148148149,0.0,9.0,45.0,0.0
800,POL,61600244,1,1.0,1.0,0.0,1.0,138.0,147.0,27.0,10.0,285.0,37.0,1.065217391304348,0.3703703703703703,2.7,0.1298245614035087,7.702702702702703,0.535,0.02,0.0,3.7,70.1,14.8,0.0,0.0,50.0,13.5
801,POL,61600245,0,1.0,1.0,1.0,0.9,98.0,76.0,20.0,5.0,174.0,25.0,0.7755102040816326,0.25,4.0,0.1436781609195402,6.96,0.09,0.01,0.0,9.258064516129032,51.03225806451613,9.193548387096774,0.0,5.0,43.0,3.0
802,POL,61600246,1,1.0,1.0,0.0,1.0,436.0,376.0,82.0,5.0,812.0,87.0,0.8623853211009175,0.0609756097560975,16.4,0.1071428571428571,9.333333333333334,0.2525,0.0,0.0,47.0,139.0,0.0,0.0,47.0,139.0,0.0
803,POL,61600247,1,1.0,1.0,1.0,1.0,149.0,123.0,24.0,9.0,272.0,33.0,0.825503355704698,0.375,2.6666666666666665,0.1213235294117647,8.242424242424242,0.45,0.0,0.0,9.75,65.125,27.375,0.0,6.0,47.0,14.5
805,POL,61600249,0,1.0,1.0,0.0,0.99,40.0,46.0,3.0,18.0,86.0,21.0,1.15,6.0,0.1666666666666666,0.2441860465116279,4.095238095238095,0.475,0.0,0.0,7.590909090909091,45.72727272727273,16.5,0.0,8.0,45.5,4.5
806,POL,61600250,0,1.0,1.0,1.0,1.0,184.0,269.0,44.0,9.0,453.0,53.0,1.4619565217391304,0.2045454545454545,4.888888888888889,0.1169977924944812,8.547169811320755,0.545,0.0,0.0,7.90625,60.75,12.8125,0.0,7.5,47.0,10.0
807,POL,61600251,0,1.0,1.0,0.0,0.99,8.0,107.0,49.0,10.0,115.0,59.0,13.375,0.2040816326530612,4.9,0.5130434782608696,1.9491525423728813,0.245,0.01,0.0,0.0,74.0,17.0,0.0,0.0,74.0,17.0
808,POL,61600252,1,1.0,1.0,0.0,1.0,121.0,169.0,28.0,5.0,290.0,33.0,1.396694214876033,0.1785714285714285,5.6,0.1137931034482758,8.787878787878787,0.3475,0.01,0.0,10.375,55.90625,11.03125,0.0,5.5,47.0,2.0
