CNT,CNTSCHID,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC162Q01SA,SC011Q01TA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC002Q01TA,SC002Q02TA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,avg_cog,med_cog,avg_math,med_math,avg_read,med_read,avg_science,med_science
CZE,20300021,4,2,25,75,0,0,2,1,2,1,1,1,1,1,62,79,21,8,20,7,21,8,20,7,0,1,1,2,1,1,1,2,1,2,1,1,1,2,0203001,1,50,30,2,25,0,0,8.941176470588236,4,50.76470588235294,46,20.58823529411765,13
CZE,20300022,2,1,90,0,0,10,2,1,1,1,2,1,1,1,197,176,22,2,22,2,2,NA,20,2,1,NA,2,1,2,2,1,2,1,1,1,2,1,2,0203001,NA,15,30,3,5,0,0,8.689655172413794,2,40.55172413793103,39,8.96551724137931,8
CZE,20300023,4,1,100,NA,NA,NA,1,3,2,1,1,1,1,1,203,341,41,7,41,7,NA,NA,41,7,7,NA,5,2,1,2,1,2,2,2,1,2,1,1,0203001,2,11,5,20,NA,0,0,9.172413793103448,8,70.3103448275862,49,15.344827586206897,6
CZE,20300024,1,1,100,0,0,0,2,3,1,1,1,1,1,1,122,112,13,3,13,1,0,1,13,1,1,0,3,1,2,1,1,2,1,1,NA,2,2,2,0203002,0,93,30,11,2,0,0,3.6666666666666665,1.5,45.22222222222222,42.5,8.444444444444445,7
CZE,20300025,3,1,99,0,1,0,1,2,1,1,2,1,1,1,210,379,54,48,54,48,NA,NA,54,48,3,NA,4,1,2,1,1,1,2,1,1,1,1,2,0203001,1,12,18,3,5,0,0,6.285714285714286,5,48.31428571428572,44,11.314285714285717,9
CZE,20300026,2,1,100,0,0,0,1,3,2,1,1,1,1,1,256,237,34,5,31,4,32,5,31,4,3,0,2,2,2,2,2,2,2,2,2,1,1,2,0203001,NA,36,33,6,NA,0,0,11.526315789473683,6,72,45,9.789473684210526,7
CZE,20300027,3,1,100,NA,NA,NA,2,1,2,1,1,1,2,1,290,239,35,2,32,0,32,0,30,2,0,0,2,2,2,2,2,1,2,1,1,2,1,2,0203002,1,64,75,22,16,0,0,12.363636363636363,1.5,49.5,43,12.318181818181818,4.5
CZE,20300028,2,1,99,0,1,NA,1,3,1,1,1,1,1,1,216,211,24,4,NA,NA,2,NA,NA,NA,1,NA,3,1,2,1,2,2,2,1,1,2,2,1,0203001,NA,35,80,20,NA,0,0,9.375,6.5,56.791666666666664,44.5,16.75,5.5
CZE,20300029,3,1,99,0,1,0,1,1,1,1,2,1,1,1,722,160,102,13,100,8,12,1,68,6,5,2,3,2,1,1,2,1,2,NA,1,1,1,1,0203001,15,10,20,1,NA,0,0,6.0625,4.5,46.6875,45,8.4375,2.5
CZE,20300030,3,2,90,10,0,0,1,1,2,1,2,1,1,1,114,82,12,6,11,5,1,1,10,5,1,0,4,2,2,2,2,2,2,2,1,1,2,2,0203002,4,20,31,3,NA,0,0,5.1,1.5,40.9,41.5,12.3,11
