CNT,CNTSCHID,bol_location,bol_extra_acts,bol_competition,bol_career_guidance,funding,students_male,students_female,teachers_ft,teachers_pt,total_students,total_teachers,ratio_f2m,ratio_ft2pt,ratio_s2t,ap_parental_eng,dropout_rate,avg_cog,avg_math,avg_read,avg_science
CZE,20300001,0,1,1,0,0.97,6.745236349484363,4.700480365792417,4.442651256490317,1.6094379124341003,6.866933284461882,4.499809670330265,-2.044755983691946,2.833213344056216,2.367123614131617,-1.2207799226423173,-3.2188758248682006,NA,2.007028964111359,3.9675133621673977,2.4799926349855714
CZE,20300002,0,1,1,0,1,5.429345628954441,5.4510384535657,3.332204510175204,1.3862943611198906,6.133398042996649,3.4657359027997265,0.021692824611259754,1.9459101490553132,2.667662140196922,-1.40649706843741,NA,NA,2.048982334195127,3.9341758100692794,2.6100697927420065
CZE,20300003,0,1,1,1,1,5.459585514144159,6.093569770045136,3.8501476017100584,2.70805020110221,6.519147287940395,4.127134385045092,0.6339842559009766,1.1420974006078486,2.392012902895304,-1.448169764837978,NA,NA,2.253105035730676,4.190699128544332,3.057573193918914
CZE,20300004,0,1,1,1,1,5.272999558563747,5.342334251964811,3.7612001156935624,1.0986122886681098,6.0014148779611505,3.828641396489095,0.06933469340106417,2.662587827025453,2.172773481472055,-1.491654876777717,NA,NA,1.8632184332102,3.9692431457580373,2.4709204078132605
CZE,20300005,1,1,0,1,NA,4.820281565605037,4.890349128221754,2.6390573296152584,1.3862943611198906,5.54907608489522,2.8903717578961645,0.07006756261671684,1.252762968495368,2.658704326999055,-3.912023005428146,NA,NA,1.5968591302272404,3.885422323630967,2.345405090176974
CZE,20300006,1,1,0,1,1,4.204692619390966,4.174387269895637,2.3978952727983707,0,4.882801922586371,2.4849066497880004,-0.030305349495328922,2.3978952727983707,2.3978952727983707,-2.184802057337662,NA,NA,2.45315795147342,3.9044947390073546,1.8325814637483102
CZE,20300007,0,1,1,1,1,5.501258210544727,5.976350909297934,3.9512437185814275,0.6931471805599453,6.459904454377535,3.9889840465642745,0.4750926987532068,3.258096538021482,2.4709204078132605,-0.9038682118755978,-4.605170185988091,NA,1.995671658614377,3.744449305268747,2.337676412805316
CZE,20300008,1,1,1,1,0.89,3.4965075614664802,5.236441962829949,2.995732273553991,2.3978952727983707,5.3981627015177525,3.4339872044851463,1.739934401363469,0.5978370007556204,1.9641754970326066,-2.184802057337662,-1.2039728043259361,NA,1.8808112468439573,3.8557638411213513,2.1673716141865382
CZE,20300009,1,1,1,1,NA,6.059123195581797,3.970291913552122,3.6888794541139363,1.6094379124341003,6.175867270105761,3.8066624897703196,-2.088831282029675,2.0794415416798357,2.3692047803354415,-2.0794415416798357,-4.605170185988091,NA,1.6519975268528964,3.7125110586472134,2.2626684855886032
CZE,20300010,1,1,1,1,0.95,4.962844630259907,5.1298987149230735,2.995732273553991,2.302585092994046,5.7430031878094825,3.4011973816621555,0.16705408466316624,0.6931471805599453,2.341805806147327,-1.3664917338237108,NA,NA,2.217843864538955,3.82319179172153,2.3513752571634776
CZE,20300011,1,1,1,1,0.99,4.04305126783455,4.672828834461906,2.5649493574615367,2.0794415416798357,5.099866427824199,3.044522437723423,0.6297775666273561,0.4855078157817008,2.0553439901007753,-0.5389965007326869,-4.605170185988091,NA,2.0222831278398874,4.1735322035759035,2.846200539583027
CZE,20300012,0,1,1,1,0.98,5.1298987149230735,5.337538079701318,3.367295829986474,1.9459101490553132,5.932245187448011,3.58351893845611,0.20763936477824455,1.421385680931161,2.3487262489919005,-0.7621400520468968,NA,NA,1.993996335722951,4.0568694510555545,2.5020010831473005
CZE,20300013,0,1,1,NA,0.7,3.970291913552122,4.624972813284271,2.5649493574615367,2.5649493574615367,5.043425116919247,3.258096538021482,0.6546808997321493,0,1.7853285788977646,-2.184802057337662,-3.912023005428146,NA,2.2823823856765264,3.7954891891721947,2.760009940032921
CZE,20300014,0,1,1,0,0.98,4.90527477843843,5.393627546352362,3.4011973816621555,1.6094379124341003,5.872117789475416,3.5553480614894135,0.488352767913932,1.791759469228055,2.316769727986002,-0.5753641449035618,NA,NA,2.0517169936649813,4.180139922385087,2.720472721100767
CZE,20300015,0,0,1,1,1,6.045005314036012,2.4849066497880004,3.9318256327243257,0.6931471805599453,6.073044534100405,3.970291913552122,-3.5600986642480117,3.2386784521643803,2.102752620548283,-2.02117263355586,-3.2188758248682006,NA,1.5459245067117746,3.6635616461296463,2.317852565124834
CZE,20300016,1,1,1,1,1,4.394449154672439,4.804021044733257,2.6390573296152584,2.4849066497880004,5.313205979041787,3.258096538021482,0.4095718900608178,0.15415067982725836,2.0551094410203055,-2.2302644314144198,NA,NA,2.498699971920336,4.420846626523463,2.6390573296152584
CZE,20300017,0,1,1,1,0.99,5.37989735354046,5.4510384535657,3.4011973816621555,2.302585092994046,6.1092475827643655,3.6888794541139363,0.07114110002524092,1.0986122886681098,2.4203681286504293,-1.40649706843741,NA,NA,2.2048582021912906,4.356266642291496,2.7508013680548737
CZE,20300018,0,1,1,0,1,5.564520407322694,5.44673737166631,3.091042453358316,2.302585092994046,6.20050917404269,3.4657359027997265,-0.11778303565638351,0.7884573603642703,2.7347732712429638,-1.0498221244986778,NA,NA,1.9704512579714308,3.9180915112645267,2.4174653689924677
CZE,20300019,1,1,1,0,0.94,5.645446897643238,5.662960480135946,3.295836866004329,2.302585092994046,6.3473892096560105,3.6109179126442243,0.01751358249270821,0.9932517730102834,2.7364712970117857,-1.480605040591132,-4.605170185988091,NA,1.842190322854947,3.859640188506815,2.234822990893227
CZE,20300020,0,1,1,1,1,6.774223886357614,4.867534450455582,4.31748811353631,1.6094379124341003,6.912742820493176,4.382026634673881,-1.9066894359020319,2.70805020110221,2.5307161858192946,-1.069053486426565,-3.506557897319982,NA,2.0355223077450004,3.9808491963579984,2.58635326612469
CZE,20300021,0,1,1,0,0.25,4.127134385045092,4.3694478524670215,3.044522437723423,2.0794415416798357,4.948759890378168,3.367295829986474,0.2423134674219299,0.965080896043587,1.5814640603916943,-1.3186357126460757,-4.605170185988091,NA,2.1906671767900603,3.927201347027212,3.0247198104272432
CZE,20300022,1,1,1,0,0.9,5.2832037287379885,5.170483995038151,3.091042453358316,0.6931471805599453,5.921578419643816,3.1780538303479458,-0.1127197336998367,2.3978952727983707,2.7435245892958697,-2.02117263355586,NA,NA,2.1621332575249492,3.702578298472098,2.1933858010290535
CZE,20300023,0,1,0,1,1,5.313205979041787,5.831882477283517,3.713572066704308,1.9459101490553132,6.298949246855942,3.871201010907891,0.5186764982417295,1.7676619176489945,2.4277482359480516,-2.120263536200091,-3.912023005428146,NA,2.216200478795225,4.252918940587981,2.730778452179766
CZE,20300024,1,1,0,0,1,4.804021044733257,4.718498871295094,2.5649493574615367,1.0986122886681098,5.455321115357702,2.772588722239781,-0.085522173438162,1.466337068793427,2.68273239311792,-1.0788096613719298,NA,NA,1.2992829841302609,3.8115886081063755,2.133508762950112
CZE,20300025,0,1,1,1,0.99,5.3471075307174685,5.937536205082426,3.9889840465642745,3.871201010907891,6.3784261836515865,4.624972813284271,0.5904286743649577,0.11778303565638346,1.7534533703673156,-2.353878387381596,-4.605170185988091,NA,1.8382794848629478,3.877727287409167,2.426066149765067
CZE,20300026,1,1,0,1,1,5.545177444479562,5.4680601411351315,3.5263605246161616,1.6094379124341003,6.20050917404269,3.6635616461296463,-0.07711730334443129,1.916922612182061,2.5369475279130436,-1.3862943611198906,NA,NA,2.4446327506500602,4.276666119016055,2.2813076945467605
CZE,20300027,0,1,1,0,1,5.66988092298052,5.476463551931511,3.5553480614894135,0.6931471805599453,6.270988431858299,3.6109179126442243,-0.19341737104900908,2.8622008809294686,2.660070519214075,-0.8153148145341529,-4.605170185988091,NA,2.5147596129376812,3.901972669574645,2.511076367521385
CZE,20300028,1,1,0,1,0.99,5.375278407684165,5.351858133476067,3.1780538303479458,1.3862943611198906,6.056784013228625,3.332204510175204,-0.023420274208098498,1.791759469228055,2.7245795030534206,-0.7985076962177716,NA,NA,2.2380465718564744,4.039389601348587,2.8183982582710754
CZE,20300029,0,1,1,1,0.99,6.582025138892826,5.075173815233827,4.624972813284271,2.5649493574615367,6.782192056006791,4.74493212836325,-1.5068513236589993,2.0600234558227344,2.0372599276435412,-2.2697952701710546,-1.8971199848858813,NA,1.8021222562636017,3.8434764628930362,2.132686056198648
CZE,20300030,0,1,1,1,0.9,4.736198448394496,4.406719247264253,2.4849066497880004,1.791759469228055,5.278114659230517,2.8903717578961645,-0.3294792011302423,0.6931471805599453,2.3877429013343527,-1.7147984280919266,-3.2188758248682006,NA,1.62924053973028,3.711130063048756,2.509599262378372
CZE,20300031,0,1,1,0,0.95,5.5053315359323625,5.1298987149230735,3.258096538021482,0,6.028278520230698,3.295836866004329,-0.3754328210092893,3.258096538021482,2.732441654226369,-1.0498221244986778,NA,NA,2.143157356065944,3.7937135154295167,1.9075912847531766
CZE,20300032,0,1,1,1,0.97,6.068425588244111,5.247024072160486,4.110873864173311,1.0986122886681098,6.432940092739179,4.1588830833596715,-0.8214015160836241,3.0122615755052013,2.2740570093795074,-0.9246589815446716,-2.0402208285265546,NA,1.895195056476297,3.7620941702904434,2.3403254209768924
CZE,20300033,1,1,0,1,1,4.867534450455582,5.3230099791384085,3.1780538303479458,1.0986122886681098,5.814130531825066,3.295836866004329,0.4554755286828257,2.0794415416798357,2.518293665820737,-2.120263536200091,-3.506557897319982,NA,2.268683541318364,3.7992275112828016,0.8472978603872037
CZE,20300034,0,1,1,1,0.96,6.023447592961033,3.6888794541139363,3.5553480614894135,1.6094379124341003,6.115892125483034,3.6888794541139363,-2.3345681388470965,1.9459101490553132,2.4270126713690976,-1.3862943611198906,-1.6607312068216509,NA,1.9937280234058061,3.896474175038516,2.2881963555419462
CZE,20300035,0,1,1,1,0.9,5.54907608489522,5.820082930352362,3.713572066704308,2.302585092994046,6.386879319362645,3.9318256327243257,0.27100684545714193,1.410986973710262,2.455053686638319,-2.162823150618887,-4.605170185988091,NA,2.108429078553088,3.970291913552122,2.6092043664655775
CZE,20300036,1,1,1,1,1,4.276666119016055,4.770684624465665,3.091042453358316,0.6931471805599453,5.247024072160486,3.1780538303479458,0.4940185054496094,2.3978952727983707,2.0689702418125404,-2.0402208285265546,-2.5257286443082556,NA,2.2934526094307732,4.068249451439248,2.4541349911212467
CZE,20300037,0,1,1,0,1,5.459585514144159,5.384495062789089,3.2188758248682006,1.3862943611198906,6.115892125483034,3.367295829986474,-0.07509045135506995,1.8325814637483102,2.74859629549656,-1.1792801917355644,NA,NA,2.6579258139196416,3.7947398448134138,2.501435951739211
CZE,20300038,0,1,0,1,1,4.48863636973214,3.5263605246161616,2.9444389791664403,0,4.812184355372417,2.995732273553991,-0.9622758451159785,2.9444389791664403,1.8164520818184267,-0.8855190732074014,NA,NA,1.252762968495368,1.6582280766035324,1.7707060600302227
CZE,20300039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17742195004004,4.235384460042751,2.528078821653209
CZE,20300040,0,1,1,NA,1,4.605170185988092,6.244166900663736,3.6888794541139363,2.302585092994046,6.421622267806518,3.912023005428146,1.6389967146756448,1.3862943611198906,2.509599262378372,-1.0498221244986778,-3.2188758248682006,NA,2.0419839791449355,4.097770061045128,2.3513752571634776
CZE,20300041,1,1,1,NA,0.99,5.198497031265826,5.3706380281276624,3.295836866004329,2.3978952727983707,5.981414211254481,3.6375861597263857,0.172140996861837,0.8979415932059586,2.343828051528095,-1.0216512475319814,-3.912023005428146,NA,2.0074680420547466,3.9632792620927715,2.3353749158170367
CZE,20300042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7250680947293828,3.7476047401267185,2.3154057814231073
CZE,20300043,1,1,0,0,0.98,5.123963979403259,5.1647859739235145,3.091042453358316,NA,5.8377304471659395,NA,0.0408219945202552,NA,NA,-1.458865053954726,NA,NA,2.068012845856213,3.828641396489095,2.129313371720009
CZE,20300044,0,1,1,1,0.97,5.3706380281276624,5.332718793265369,3.2188758248682006,1.0986122886681098,6.045005314036012,3.332204510175204,-0.037919234862293726,2.120263536200091,2.712800803860808,-1.1631508098056809,NA,NA,2.0406555166446796,3.8445817246326133,2.3939348715822737
CZE,20300045,0,1,1,NA,0.99,5.673323267171493,5.6937321388027,3.6109179126442243,3.044522437723423,6.376726947898627,4.060443010546419,0.020408871631207033,0.5663954749208014,2.3162839373522077,-1.2909841813155656,NA,NA,2.0104486701928845,3.8985999850960056,2.5776883832389665
CZE,20300046,0,1,0,NA,1,5.075173815233827,5.198497031265826,4.382026634673881,4.0943445622221,5.831882477283517,4.941642422609304,0.1233232160319989,0.28768207245178085,0.8902400546742124,-1.6094379124341003,-4.605170185988091,NA,2.4277482359480516,4.408749704814635,2.826655943510057
CZE,20300047,0,1,1,0,1,5.41610040220442,5.786897381366708,3.6375861597263857,2.302585092994046,6.311734809152915,3.871201010907891,0.3707969791622875,1.33500106673234,2.4405337982450237,-2.2302644314144198,-2.8134107167600364,NA,2.0794415416798357,3.846595200105691,2.5681493601922076
CZE,20300048,1,1,0,0,1,4.442651256490317,4.51085950651685,2.70805020110221,0,5.170483995038151,2.772588722239781,0.06820825002653357,2.70805020110221,2.3978952727983707,-1.0147308046874075,NA,NA,2.0014800002101243,3.742420221041966,2.785011242238338
CZE,20300049,0,1,1,NA,1,4.836281906951478,5.62040086571715,3.1354942159291497,1.791759469228055,5.996452088619021,3.367295829986474,0.7841189587656721,1.3437347467010947,2.629156258632547,-1.3280254529959148,-2.5257286443082556,NA,1.791759469228055,3.903414630891546,1.8827312474337816
CZE,20300050,0,1,1,1,1,3.4965075614664802,5.19295685089021,2.772588722239781,1.791759469228055,5.3612921657094255,3.091042453358316,1.69644928942373,0.9808292530117262,2.2702497123511094,-1.8971199848858813,-2.3025850929940455,NA,1.8841327893590702,3.8342358166744193,1.9366508236425166
CZE,20300051,1,1,0,1,0.99,4.31748811353631,4.1588830833596715,2.302585092994046,1.3862943611198906,4.9344739331306915,2.6390573296152584,-0.15860503017663852,0.9162907318741551,2.295416603515433,-1.2123410539964528,NA,NA,1.8325814637483102,4.131158535344817,1.9980959022258835
CZE,20300052,0,1,1,1,0.99,5.723585101952381,5.641907070938114,3.4965075614664802,NA,6.376726947898627,NA,-0.08167803101426724,NA,NA,-1.3862943611198906,NA,NA,1.9459101490553132,4.243482700225814,3.184284380098582
CZE,20300053,0,1,1,0,1,3.091042453358316,5.480638923341991,3.4011973816621555,3.091042453358316,5.568344503761097,3.9512437185814275,2.3895964699836756,0.31015492830383945,1.6171007851796695,-0.4054651081081643,-3.912023005428146,NA,2.3283375890964604,4.150697498773233,2.0406555166446796
CZE,20300054,0,1,1,1,1,5.564520407322694,5.25227342804663,3.258096538021482,0,6.113682179832232,3.295836866004329,-0.3122469792760636,3.258096538021482,2.817845313827902,-0.7711087220296571,NA,NA,2.0424763474463643,3.915886500253191,2.340564341059262
CZE,20300055,0,1,1,1,1,6.075346031088684,3.4657359027997265,3.828641396489095,1.0986122886681098,6.1463292576688975,3.8918202981106265,-2.6096101282889577,2.7300291078209855,2.2545089595582706,-1.3862943611198906,-1.171182981502945,NA,1.9459101490553132,4.018311661658794,2.6079667425452273
CZE,20300056,1,1,1,1,0.94,4.770684624465665,3.5263605246161616,2.4849066497880004,2.302585092994046,5.0238805208462765,3.091042453358316,-1.2443240998495033,0.1823215567939546,1.9328380674879606,-0.7985076962177716,-2.120263536200091,NA,2.545531271604435,4.415824014257172,2.463853240590168
CZE,20300057,0,1,1,1,0.9,5.579729825986222,5.808142489980444,4.143134726391533,1.9459101490553132,6.393590753950631,4.248495242049359,0.22841266399422158,2.1972245773362196,2.145095511901273,-1.5488132906176655,-1.7147984280919266,NA,2.341805806147327,3.967773020532638,2.5649493574615367
CZE,20300058,0,1,1,1,1,4.143134726391533,5.327876168789581,3.091042453358316,1.3862943611198906,5.594711379601839,3.258096538021482,1.1847414423980485,1.7047480922384253,2.336614841580357,-1.502828177375842,-2.8134107167600364,NA,2.0249533563957662,3.9424640309293815,2.2005859250389244
CZE,20300059,0,1,1,1,0.99,6.07993319509559,4.941642422609304,4.127134385045092,2.1972245773362196,6.3578422665081,4.2626798770413155,-1.1382907724862859,1.9299098077088723,2.0951623894667843,-1.0986122886681096,-1.6607312068216509,NA,2.3353749158170367,3.92395157629342,2.3092296357127142
CZE,20300060,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9106642099936386,3.87749429788368,2.4357376259815307
CZE,20300061,1,1,NA,1,1,3.6109179126442243,5.318119993844216,3.1780538303479458,2.70805020110221,5.484796933490655,3.6635616461296463,1.707202081199992,0.47000362924573563,1.8212352873610087,-1.4411025976148855,-2.995732273553991,NA,2.1162555148025524,3.946746441486532,2.6878474937846906
CZE,20300062,1,1,1,1,0.95,6.068425588244111,5.579729825986222,4.007333185232471,2.1972245773362196,6.546785410760524,4.1588830833596715,-0.4886957622578881,1.8101086078962514,2.387902327400852,-2.8705691305999848,-3.506557897319982,NA,1.8306748854777286,3.659891917240684,2.344549292093078
CZE,20300063,0,1,1,1,0.2,3.6375861597263857,5.2832037287379885,3.332204510175204,1.791759469228055,5.459585514144159,3.5263605246161616,1.6456175690116026,1.540445040947149,1.9332249895279976,-0.5108256237659907,NA,NA,1.8040295618198694,3.9281879422815016,2.2914117923959205
CZE,20300064,0,1,1,1,0.95,4.787491742782046,4.6443908991413725,2.5649493574615367,0.6931471805599453,5.4116460518550396,2.70805020110221,-0.1431008436406733,1.8718021769015913,2.70359585075283,-0.6931471805599453,NA,NA,1.9459101490553132,3.6826098411003407,2.5106150064982073
CZE,20300065,1,1,1,1,1,5.877735781779639,4.465908118654584,3.871201010907891,2.302585092994046,6.095824562432225,4.060443010546419,-1.4118276631250555,1.5686159179138452,2.0353815518858056,-2.0996442489973552,-2.0402208285265546,NA,2.6079667425452273,4.002124840125333,2.4485390056171252
CZE,20300066,0,1,1,0,0.95,5.958424693029782,5.8664680569332965,3.6635616461296463,0,6.606650186198215,3.6888794541139363,-0.09195663609648505,3.6635616461296463,2.917770732084279,-0.7985076962177716,NA,NA,1.6514021115331325,3.8910911693871104,2.4266972637020765
CZE,20300067,0,1,1,0,0.76,4.787491742782046,5.0689042022202315,2.995732273553991,4.382026634673881,5.631211781821365,4.605170185988092,0.2814124594381855,-1.3862943611198906,1.0260415958332743,-1.0033021088637848,-3.912023005428146,NA,2.0853762771996505,3.80348283685294,2.114532861491106
CZE,20300068,0,1,1,0,1,5.420534999272286,5.459585514144159,3.295836866004329,NA,6.133398042996649,3.295836866004329,0.039050514871873034,NA,2.8375611769923195,-0.8556661100577202,NA,NA,1.8817856208857746,3.7591758235043318,1.9824995964876055
CZE,20300069,1,1,1,1,0.99,4.941642422609304,5.1647859739235145,3.258096538021482,1.791759469228055,5.752572638825633,3.4657359027997265,0.22314355131420976,1.466337068793427,2.2868367360259065,-1.3217558399823195,-3.912023005428146,NA,2.2335922215070942,4.240126992378842,2.4495672833426916
